transaction_id,customer_id,amount,payment_method,status,failure_reason,created_at
TXN00001,C0470,3322,card,success,,2026-07-17 01:54:00
TXN00002,C0345,8367,netbanking,failed,insufficient_funds,2026-08-03 10:46:00
TXN00003,C0445,5390,upi,success,,2026-07-09 07:52:00
TXN00004,C0018,4775,netbanking,success,,2026-07-24 14:41:00
TXN00005,C0070,7927,upi,success,,2026-07-11 02:26:00
TXN00006,C0338,1997,wallet,success,,2026-07-29 20:04:00
TXN00007,C0628,2331,upi,success,,2026-08-17 14:35:00
TXN00008,C0592,7522,wallet,failed,invalid_card,2026-07-01 21:44:00
TXN00009,C0527,6700,upi,success,,2026-08-04 05:24:00
TXN00010,C0688,1015,card,success,,2026-08-27 04:48:00
TXN00011,C0456,11086,upi,success,,2026-07-07 23:02:00
TXN00012,C0269,8834,upi,refunded,,2026-08-22 16:46:00
TXN00013,C0631,11532,upi,failed,insufficient_funds,2026-08-23 17:14:00
TXN00014,C0811,6866,card,success,,2026-07-24 08:17:00
TXN00015,C0188,342,upi,success,,2026-08-18 06:18:00
TXN00016,C0569,12679,card,success,,2026-08-10 20:24:00
TXN00017,C0711,1610,upi,success,,2026-08-18 21:10:00
TXN00018,C0529,12865,wallet,success,,2026-07-24 19:47:00
TXN00019,C0434,734,upi,success,,2026-08-17 13:20:00
TXN00020,C0288,10108,upi,success,,2026-07-16 12:07:00
TXN00021,C0918,3564,upi,success,,2026-07-03 06:04:00
TXN00022,C0567,1232,upi,success,,2026-07-16 18:40:00
TXN00023,C0499,3542,upi,success,,2026-07-18 10:10:00
TXN00024,C0441,9802,upi,success,,2026-08-14 15:17:00
TXN00025,C0781,14628,netbanking,success,,2026-08-03 16:56:00
TXN00026,C0303,6285,card,success,,2026-07-06 10:55:00
TXN00027,C0087,13665,card,success,,2026-07-02 02:41:00
TXN00028,C0830,4700,upi,success,,2026-07-23 04:32:00
TXN00029,C0438,1372,card,success,,2026-08-04 23:34:00
TXN00030,C0541,9280,upi,success,,2026-07-04 22:50:00
TXN00031,C0022,11730,card,success,,2026-07-09 16:41:00
TXN00032,C0833,4717,upi,success,,2026-08-22 18:59:00
TXN00033,C0797,8207,upi,success,,2026-07-06 14:18:00
TXN00034,C0560,1841,upi,failed,invalid_card,2026-07-10 12:24:00
TXN00035,C0517,671,netbanking,refunded,,2026-08-10 22:13:00
TXN00036,C0762,3140,upi,success,,2026-08-19 09:01:00
TXN00037,C0675,8938,card,success,,2026-07-31 10:56:00
TXN00038,C0503,4926,upi,success,,2026-07-26 20:56:00
TXN00039,C0714,11989,card,success,,2026-08-09 19:52:00
TXN00040,C0467,7870,netbanking,success,,2026-07-22 06:15:00
TXN00041,C0101,13525,upi,success,,2026-07-02 08:07:00
TXN00042,C0583,11217,upi,success,,2026-07-11 18:32:00
TXN00043,C0942,3923,netbanking,success,,2026-07-06 18:21:00
TXN00044,C0675,14317,upi,failed,bank_declined,2026-08-21 09:13:00
TXN00045,C0685,563,upi,success,,2026-08-19 07:48:00
TXN00046,C0141,10558,card,success,,2026-08-17 17:59:00
TXN00047,C0138,3509,card,success,,2026-08-13 18:58:00
TXN00048,C0578,745,upi,success,,2026-08-15 02:06:00
TXN00049,C0710,3440,card,success,,2026-07-17 06:34:00
TXN00050,C0840,6865,upi,success,,2026-07-22 01:41:00
TXN00051,C0228,13121,upi,refunded,,2026-07-11 10:07:00
TXN00052,C0281,2136,card,success,,2026-07-19 14:39:00
TXN00053,C0684,14168,upi,failed,bank_declined,2026-08-08 18:20:00
TXN00054,C0828,9354,upi,failed,invalid_card,2026-07-11 21:14:00
TXN00055,C0431,11397,card,success,,2026-07-11 17:06:00
TXN00056,C0040,12198,netbanking,failed,bank_declined,2026-08-20 10:31:00
TXN00057,C0519,1082,netbanking,success,,2026-08-01 02:31:00
TXN00058,C0686,4040,wallet,success,,2026-07-03 06:15:00
TXN00059,C0663,7123,netbanking,success,,2026-07-24 11:46:00
TXN00060,C0211,9262,upi,success,,2026-07-04 10:24:00
TXN00061,C0302,4811,upi,success,,2026-07-27 06:26:00
TXN00062,C0086,11377,card,success,,2026-07-22 04:17:00
TXN00063,C0397,13908,upi,failed,bank_declined,2026-07-20 06:03:00
TXN00064,C0253,9257,card,success,,2026-07-25 12:07:00
TXN00065,C0533,14641,card,success,,2026-07-09 05:25:00
TXN00066,C0769,5404,upi,success,,2026-08-17 07:06:00
TXN00067,C0891,12701,netbanking,success,,2026-08-20 16:26:00
TXN00068,C0915,7488,upi,success,,2026-08-29 14:07:00
TXN00069,C0381,3403,upi,success,,2026-08-08 14:09:00
TXN00070,C0444,11289,wallet,refunded,,2026-08-26 13:14:00
TXN00071,C0033,2444,upi,success,,2026-08-25 12:05:00
TXN00072,C0260,218,upi,success,,2026-07-18 16:23:00
TXN00073,C0234,841,upi,success,,2026-07-01 12:24:00
TXN00074,C0515,3283,card,success,,2026-07-26 04:42:00
TXN00075,C0859,5400,card,success,,2026-08-06 04:02:00
TXN00076,C0308,8721,card,success,,2026-08-07 23:29:00
TXN00077,C0739,1065,card,success,,2026-08-23 01:27:00
TXN00078,C0796,973,upi,success,,2026-08-24 21:52:00
TXN00079,C0070,12879,netbanking,success,,2026-08-14 23:26:00
TXN00080,C0454,4932,netbanking,success,,2026-08-15 15:11:00
TXN00081,C0439,10746,upi,failed,invalid_card,2026-07-03 05:37:00
TXN00082,C0825,11730,upi,success,,2026-08-26 00:02:00
TXN00083,C0364,3718,wallet,success,,2026-07-22 01:59:00
TXN00084,C0983,11334,netbanking,success,,2026-08-07 03:49:00
TXN00085,C0766,6995,netbanking,success,,2026-08-13 00:50:00
TXN00086,C0481,7184,netbanking,success,,2026-07-16 12:37:00
TXN00087,C0144,13513,upi,success,,2026-07-30 09:54:00
TXN00088,C0024,2767,card,success,,2026-07-27 18:50:00
TXN00089,C0965,1874,upi,failed,insufficient_funds,2026-07-05 21:14:00
TXN00090,C0425,11075,upi,success,,2026-07-12 07:03:00
TXN00091,C0746,11772,card,success,,2026-07-30 07:00:00
TXN00092,C0845,939,upi,success,,2026-08-04 18:59:00
TXN00093,C0175,1745,card,success,,2026-08-21 14:32:00
TXN00094,C0844,12956,upi,success,,2026-08-22 07:48:00
TXN00095,C0325,10651,upi,success,,2026-08-29 05:15:00
TXN00096,C0869,9527,upi,success,,2026-07-19 16:45:00
TXN00097,C0671,5327,upi,success,,2026-07-14 14:15:00
TXN00098,C0860,7147,upi,success,,2026-07-16 10:31:00
TXN00099,C0348,6820,upi,success,,2026-08-23 10:15:00
TXN00100,C0798,9265,wallet,success,,2026-08-03 03:31:00
TXN00101,C0018,4755,upi,success,,2026-07-17 01:00:00
TXN00102,C0044,10692,upi,success,,2026-07-08 11:28:00
TXN00103,C0155,5845,card,success,,2026-08-11 04:57:00
TXN00104,C0867,9143,card,success,,2026-08-05 04:57:00
TXN00105,C0922,13949,upi,failed,insufficient_funds,2026-07-08 21:17:00
TXN00106,C0377,14265,card,success,,2026-08-16 12:13:00
TXN00107,C0743,7324,card,success,,2026-07-18 07:46:00
TXN00108,C0883,9245,upi,success,,2026-08-19 07:58:00
TXN00109,C0828,3932,upi,success,,2026-08-08 07:09:00
TXN00110,C0402,2483,netbanking,success,,2026-07-04 20:46:00
TXN00111,C0225,9721,card,success,,2026-07-29 20:56:00
TXN00112,C0217,8869,card,success,,2026-08-07 00:38:00
TXN00113,C0568,11118,upi,failed,invalid_card,2026-08-18 07:10:00
TXN00114,C0031,11483,upi,success,,2026-08-05 16:48:00
TXN00115,C0869,14751,card,success,,2026-08-07 03:46:00
TXN00116,C0059,7198,upi,failed,network_error,2026-08-24 23:09:00
TXN00117,C0892,12622,upi,success,,2026-07-28 21:27:00
TXN00118,C0898,13640,card,success,,2026-07-24 09:39:00
TXN00119,C0353,12897,upi,failed,network_error,2026-08-04 09:45:00
TXN00120,C0935,13933,card,success,,2026-08-06 09:49:00
TXN00121,C0445,5613,card,success,,2026-07-17 05:46:00
TXN00122,C0235,1469,upi,failed,bank_declined,2026-08-11 03:53:00
TXN00123,C0107,8068,card,success,,2026-07-29 21:05:00
TXN00124,C0191,14067,upi,success,,2026-07-06 05:09:00
TXN00125,C0992,12573,card,success,,2026-08-23 04:47:00
TXN00126,C0530,2803,upi,success,,2026-08-24 16:44:00
TXN00127,C0913,6161,upi,success,,2026-08-23 13:50:00
TXN00128,C0738,9861,card,failed,network_error,2026-08-22 15:57:00
TXN00129,C0679,8769,upi,success,,2026-08-13 23:05:00
TXN00130,C0583,7757,netbanking,success,,2026-07-30 18:11:00
TXN00131,C0874,1880,upi,success,,2026-08-23 09:50:00
TXN00132,C0566,13562,upi,success,,2026-07-24 21:27:00
TXN00133,C0245,8633,upi,success,,2026-08-02 08:46:00
TXN00134,C0995,9311,upi,success,,2026-08-25 05:18:00
TXN00135,C0862,5882,upi,failed,bank_declined,2026-08-01 16:52:00
TXN00136,C0076,14801,card,success,,2026-07-08 02:48:00
TXN00137,C0547,8284,card,success,,2026-07-08 07:15:00
TXN00138,C0267,5567,netbanking,success,,2026-07-08 12:30:00
TXN00139,C0317,269,wallet,success,,2026-08-12 02:31:00
TXN00140,C0812,4124,upi,refunded,,2026-07-05 17:19:00
TXN00141,C0121,6400,card,refunded,,2026-08-21 10:43:00
TXN00142,C0836,13893,upi,success,,2026-07-10 22:48:00
TXN00143,C0025,10478,card,success,,2026-07-09 19:19:00
TXN00144,C0432,2207,upi,success,,2026-07-15 14:58:00
TXN00145,C0160,9192,wallet,success,,2026-08-02 10:16:00
TXN00146,C0596,13529,card,success,,2026-08-29 08:02:00
TXN00147,C0114,8319,wallet,success,,2026-07-27 23:52:00
TXN00148,C0735,2979,card,success,,2026-08-08 04:11:00
TXN00149,C0900,5120,netbanking,success,,2026-08-27 00:03:00
TXN00150,C0502,955,card,success,,2026-07-17 04:26:00
TXN00151,C0166,6695,upi,failed,insufficient_funds,2026-07-20 14:10:00
TXN00152,C0703,10387,upi,success,,2026-08-01 17:33:00
TXN00153,C0175,6135,upi,success,,2026-07-20 14:39:00
TXN00154,C0001,9713,upi,success,,2026-08-17 20:37:00
TXN00155,C0899,2530,upi,refunded,,2026-07-06 04:07:00
TXN00156,C0741,5905,upi,success,,2026-08-29 15:44:00
TXN00157,C0086,8501,upi,success,,2026-07-15 01:51:00
TXN00158,C0574,1216,wallet,success,,2026-08-15 17:55:00
TXN00159,C0320,7547,netbanking,success,,2026-08-29 09:10:00
TXN00160,C0401,14449,upi,success,,2026-08-09 11:23:00
TXN00161,C0382,14257,upi,success,,2026-07-19 05:01:00
TXN00162,C0718,12257,upi,success,,2026-08-14 17:08:00
TXN00163,C0617,8416,upi,success,,2026-08-09 05:07:00
TXN00164,C0318,5138,card,success,,2026-08-20 21:09:00
TXN00165,C0803,3038,upi,success,,2026-08-19 00:25:00
TXN00166,C0250,937,card,failed,invalid_card,2026-07-30 22:06:00
TXN00167,C0525,6400,netbanking,success,,2026-08-26 08:24:00
TXN00168,C0675,8571,card,success,,2026-07-01 10:38:00
TXN00169,C0555,431,upi,success,,2026-08-20 20:45:00
TXN00170,C0898,2117,card,success,,2026-08-19 01:59:00
TXN00171,C0952,8734,upi,success,,2026-08-13 16:54:00
TXN00172,C0623,12964,upi,success,,2026-08-16 08:40:00
TXN00173,C0717,6118,upi,success,,2026-08-02 19:14:00
TXN00174,C0896,2823,upi,success,,2026-08-12 09:29:00
TXN00175,C0256,8846,upi,success,,2026-08-14 08:03:00
TXN00176,C0307,13743,upi,success,,2026-08-03 08:47:00
TXN00177,C0950,12776,card,success,,2026-07-07 18:21:00
TXN00178,C0144,13724,card,success,,2026-08-13 18:04:00
TXN00179,C0658,6601,upi,failed,insufficient_funds,2026-08-12 16:49:00
TXN00180,C0391,13017,upi,success,,2026-07-16 23:11:00
TXN00181,C0813,7272,card,success,,2026-07-19 02:41:00
TXN00182,C0676,2476,upi,success,,2026-08-09 19:04:00
TXN00183,C0169,7593,netbanking,failed,invalid_card,2026-07-11 20:42:00
TXN00184,C0990,8987,card,failed,network_error,2026-08-22 03:43:00
TXN00185,C0298,4074,upi,success,,2026-07-13 01:59:00
TXN00186,C0233,4730,upi,success,,2026-07-23 23:43:00
TXN00187,C0903,13369,upi,success,,2026-07-11 15:30:00
TXN00188,C0271,7364,upi,success,,2026-07-12 10:24:00
TXN00189,C0060,14269,upi,success,,2026-07-02 11:34:00
TXN00190,C0296,4697,card,success,,2026-08-04 07:29:00
TXN00191,C0467,11061,upi,success,,2026-07-01 03:04:00
TXN00192,C0235,8133,upi,failed,insufficient_funds,2026-08-04 05:14:00
TXN00193,C0677,2335,card,failed,insufficient_funds,2026-08-20 13:19:00
TXN00194,C0706,6927,upi,success,,2026-08-08 18:10:00
TXN00195,C0234,12356,upi,success,,2026-08-24 16:07:00
TXN00196,C0368,1765,upi,success,,2026-08-17 22:50:00
TXN00197,C0695,508,upi,success,,2026-07-23 17:34:00
TXN00198,C0845,8734,card,failed,bank_declined,2026-08-19 17:33:00
TXN00199,C0232,8827,upi,failed,invalid_card,2026-08-05 02:26:00
TXN00200,C0873,8568,card,success,,2026-07-25 09:20:00
TXN00201,C0491,338,upi,success,,2026-08-03 16:04:00
TXN00202,C0619,393,upi,success,,2026-08-12 01:23:00
TXN00203,C0503,3457,upi,success,,2026-08-22 02:36:00
TXN00204,C0890,3435,card,failed,network_error,2026-08-25 22:08:00
TXN00205,C0735,13672,upi,success,,2026-08-08 06:33:00
TXN00206,C0592,1142,upi,success,,2026-08-06 20:56:00
TXN00207,C0746,4820,card,success,,2026-07-08 00:53:00
TXN00208,C0381,12271,upi,success,,2026-07-05 10:45:00
TXN00209,C0696,5920,upi,success,,2026-07-22 00:29:00
TXN00210,C0428,11505,card,success,,2026-08-27 05:30:00
TXN00211,C0697,11354,upi,success,,2026-07-12 20:45:00
TXN00212,C0646,6553,card,success,,2026-07-25 19:02:00
TXN00213,C0732,13228,upi,success,,2026-08-25 11:23:00
TXN00214,C0800,5157,card,success,,2026-07-10 09:02:00
TXN00215,C0364,9345,card,success,,2026-08-02 06:39:00
TXN00216,C0202,9694,upi,success,,2026-08-25 03:04:00
TXN00217,C0882,13762,card,success,,2026-07-11 00:26:00
TXN00218,C0146,3581,netbanking,success,,2026-08-18 18:31:00
TXN00219,C0836,6039,upi,success,,2026-07-12 00:20:00
TXN00220,C0639,3080,upi,failed,insufficient_funds,2026-08-02 13:05:00
TXN00221,C0457,10579,card,success,,2026-08-02 22:04:00
TXN00222,C0135,5087,card,success,,2026-08-09 21:03:00
TXN00223,C0626,745,upi,success,,2026-08-21 15:39:00
TXN00224,C0264,14332,netbanking,success,,2026-07-22 15:12:00
TXN00225,C0064,13504,upi,success,,2026-08-26 07:49:00
TXN00226,C0491,2127,card,success,,2026-07-22 08:17:00
TXN00227,C0647,14041,card,refunded,,2026-08-07 17:25:00
TXN00228,C0041,4352,wallet,success,,2026-07-27 22:07:00
TXN00229,C0296,14647,upi,failed,invalid_card,2026-07-29 23:05:00
TXN00230,C0003,204,card,success,,2026-07-02 09:22:00
